name,org_name,starts_on,ends_on,location,categories,theme,description
10am-4pm,Writing & Media Lab,2013-06-12T04:00:00+00:00,2013-06-13T04:00:00+00:00,No location specified,,Unknown,The StudioLab's Summer Session hours are: Mon-Thurs: 10am-4pm Fri: 10am-2pm Sat & Sun: CLOSED
10am-4pm,Writing & Media Lab,2013-06-11T04:00:00+00:00,2013-06-12T04:00:00+00:00,No location specified,,Unknown,The StudioLab's Summer Session hours are: Mon-Thurs: 10am-4pm Fri: 10am-2pm Sat & Sun: CLOSED
10am-4pm,Writing & Media Lab,2013-06-10T04:00:00+00:00,2013-06-11T04:00:00+00:00,No location specified,,Unknown,The StudioLab's Summer Session hours are: Mon-Thurs: 10am-4pm Fri: 10am-2pm Sat & Sun: CLOSED
Edward's Office Hours,Furman Wesley Fellowship,2013-03-21T18:00:00+00:00,2013-03-21T20:00:00+00:00,P-Den,,Unknown,"Do you just need to chat? Or, have something more serious to discuss? Edward will be available in the P-Den from 2-4 every Thursday afternoon. So, just stop by - he would love to talk!"
Wesley Lunch,Furman Wesley Fellowship,2013-03-21T15:00:00+00:00,2013-03-21T18:00:00+00:00,In the DH - long table on Lakeside side.,,Unknown,"Each Thursday we gather for lunch in the DH. Edward is there from 11am to 2pm, as are other Wesley folks. Come when you can, and stay as long as you like!"
CLP: Step Afrika,Furman University Student Activities Board,2013-03-20T23:00:00+00:00,2013-03-21T00:30:00+00:00,McAlister Auditorium,,Unknown,Don't miss this Furman favorite! Sponsored by SLBC and FUSAB. Did we mention it is a CLP? http://www.stepafrika.org/home.htm
Lt. Gen. and Judge Advocate General Dana K. Chipman public address,"The Riley Institute of Government, Leadership and Public Policy",2013-03-20T23:00:00+00:00,2013-03-21T00:00:00+00:00,Younts Conference Center,,Unknown,"On March 20, 2013 at 7 p.m. at Younts Conference Center on Furman's campus, Lieutenant General Dana Chipman will deliver a public address, “Equality in an Era of Change.” This event is free and open to the public. For further information, please call 864.294.3546. Lieutenant General Dana K. Chipman serves as The Judge Advocate General of the U.S. Army. Initially commissioned in the Infantry after graduating from West Point in 1980, he earned a Juris Doctor degree from Stanford Law School in 1986. He also holds a Master of Laws in Military Law degree from The Judge Advocate General’s School and a Master of Strategic Studies degree from the U.S. Army War College, Carlisle Barracks. Lieutenant General Chipman has served as a judge advocate in a variety of operational and staff assignments, including 1st Special Forces Operational Detachment – Delta (Airborne), Joint Special Operations Command, U.S. Special Operations Command, and U.S. Central Command. In 2001 and 2002, he deployed as the legal advisor to a Joint Special Operations Task Force for Operation ENDURING FREEDOM in Afghanistan. As a general officer, he commanded The Judge Advocate General’s Legal Center and School in Charlottesville, Virginia, before assuming his current duties on October 1, 2009. Lieutenant General Chipman is married with three children."
Kappa Delta Initiation,Panhellenic Council,2013-03-20T23:00:00+00:00,2013-03-21T00:00:00+00:00,No location specified,,Unknown,
Wesley Fellowship Mtg,Furman Wesley Fellowship,2013-03-19T23:45:00+00:00,2013-03-20T01:15:00+00:00,Garden Room of Chapel,,Unknown,"This spring we will be engaging in a study built around Donald Miller’s book/movie Blue Like Jazz – Exploring Blue Like Jazz. “Exploring Blue Like Jazz, is a study about how to do life and faith well in the phase after high school that some have termed ‘emerging adulthood.’ It’s a book intended to make growing up a little easier.” Each week we will look at different topics relevant to our lives like – Consumerism, Culture, Doubt, Money, Partying, etc. Join us every Tuesday @ 7:45pm in the Garden Room of the Chapel. All are invited to this time of fellowship, worship, and friends! We will be done [officially] around 9:15pm, but feel free to hang around!"
Pizza & Politics,Political Science Department,2013-03-19T16:00:00+00:00,2013-03-19T16:50:00+00:00,Johns Hall Community Square,,Unknown,Join the Political Science faculty for a lively discussion on the latest political headlines. Open to all majors. Pizza and drinks are provided.
Meatless Mondays,Environmental Action Group (Furman Unviersity),2013-03-18T04:00:00+00:00,2013-03-19T04:00:00+00:00,Furman Dining Hall,,Unknown,"EAG is hosting ""Meatless Mondays""! Every Monday, a table in the DH will be reserved for ""meatless meals"" to help promote healthier, more sustainable eating habits. Come sit with us to learn more about the power of your food choices!"
Kappa Initiation,Panhellenic Council,2013-03-15T23:15:00+00:00,2013-03-16T00:15:00+00:00,No location specified,,Unknown,
Panhellenic Council Meeting,Panhellenic Council,2013-03-14T21:30:00+00:00,2013-03-14T22:30:00+00:00,No location specified,,Unknown,
Panhellenic Exec Council Interviews,Panhellenic Council,2013-01-24T05:00:00+00:00,2013-01-25T05:00:00+00:00,No location specified,,Unknown,
Panhellenic Council Meeting,Panhellenic Council,2013-01-24T22:30:00+00:00,2013-01-24T23:30:00+00:00,No location specified,,Unknown,
Edward's Office Hours,Furman Wesley Fellowship,2013-01-24T19:00:00+00:00,2013-01-24T21:00:00+00:00,P-Den,,Unknown,"Do you just need to chat? Or, have something more serious to discuss? Edward will be available in the P-Den from 2-4 every Thursday afternoon. So, just stop by - he would love to talk!"
Wesley Lunch,Furman Wesley Fellowship,2013-01-24T16:00:00+00:00,2013-01-24T19:00:00+00:00,In the DH - long table on Lakeside side.,,Unknown,"Each Thursday we gather for lunch in the DH. Edward is there from 11am to 2pm, as are other Wesley folks. Come when you can, and stay as long as you like!"
Wesley Fellowship Mtg,Furman Wesley Fellowship,2013-01-23T00:45:00+00:00,2013-01-23T02:15:00+00:00,Garden Room of Chapel,,Unknown,"This spring we will be engaging in a study built around Donald Miller’s book/movie Blue Like Jazz – Exploring Blue Like Jazz. “Exploring Blue Like Jazz, is a study about how to do life and faith well in the phase after high school that some have termed ‘emerging adulthood.’ It’s a book intended to make growing up a little easier.” Each week we will look at different topics relevant to our lives like – Consumerism, Culture, Doubt, Money, Partying, etc. Join us every Tuesday @ 7:45pm in the Garden Room of the Chapel. All are invited to this time of fellowship, worship, and friends! We will be done [officially] around 9:15pm, but feel free to hang around!"
Panhellenic Council Applications Due,Panhellenic Council,2013-01-22T04:00:00+00:00,2013-01-22T05:00:00+00:00,No location specified,,Unknown,Due at 5pm to Panhellenic Mailbox #28534
Becca Dikter's Birthday,Delta Delta Delta,2013-01-21T05:00:00+00:00,2013-01-21T05:00:00+00:00,everywhere!,,Unknown,HAPPY BIRTHDAY BECCA!!!
MLK Holiday,Panhellenic Council,2013-01-21T05:00:00+00:00,2013-01-21T05:00:00+00:00,No location specified,,Unknown,
Bid Day!,"Kappa Kappa Gamma, Eta Alpha chapter",2013-01-20T20:00:00+00:00,2013-01-21T00:30:00+00:00,No location specified,,Unknown,
Bid Day!,Panhellenic Council,2013-01-20T19:30:00+00:00,2013-01-20T20:30:00+00:00,No location specified,,Unknown,
Weekly meeting,Building Tomorrow,2012-11-29T23:30:00+00:00,2012-11-30T01:00:00+00:00,Furman Hall 110,,Unknown,"Weekly Meeting. May not always be the whole 6:30-8 time period, just a guesstimate."
First training session,Furman University Aikido Club,2012-11-29T23:45:00+00:00,2012-11-30T01:00:00+00:00,Dance studio of PAC,,Unknown,"Aikido training - wear comfortable clothes (sweat pants, tshirt) or dogi if you have one"
BCM Christmas Party!,Furman Baptist Collegiate Ministry,2012-11-29T23:30:00+00:00,2012-11-30T00:30:00+00:00,TBD,,Unknown,BCM Christmas Party! Details/Accurate Time to come soon!
Panhellenic Council Meeting,Panhellenic Council,2012-11-29T22:30:00+00:00,2012-11-29T23:30:00+00:00,No location specified,,Unknown,
Kristen Kailer's Birthday,Delta Delta Delta,2012-11-29T05:00:00+00:00,2012-11-29T05:00:00+00:00,everywhere!,,Unknown,"HAPPY BIRTHDAY, KRISTEN!!!"
Join Tridelta to watch Modern Family!,Delta Delta Delta,2012-11-29T02:00:00+00:00,2012-11-29T02:30:00+00:00,McEarchern Lecture Hall,,Unknown,Come join the sisters of Tridelta to watch and enjoy Modern Family! Good times to laugh and get to know each other!
"CCM Gathering ""Religion vs. Science""",Catholic Campus Ministry,2012-11-29T00:30:00+00:00,2012-11-29T02:00:00+00:00,Daniel Chapel Garden Room,,Unknown,This Wednesday night we will be discussing the relationship between religion and science. Is this relationship a battle or a friendship? Come out at 7:30pm for dinner. Our discussion will begin at 8pm. This is our last Wednesday night for discussion before our Advent party next week. Join CCM for a meaningful talk one last time this year!
Annual Committee Meeting,Furman University Student Activities Board,2012-11-29T01:00:00+00:00,2012-11-29T02:00:00+00:00,FUSAB Office,,Unknown,"Sit in on an Annual Committee meeting to hear about homecoming, spring carnival, and other annual events that are being planned!"
AZ Fashion Show,Panhellenic Council,2012-11-29T00:00:00+00:00,2012-11-29T01:00:00+00:00,No location specified,,Unknown,
Exchange Study Away Info Session- The Netherlands and South Africa,Rinker Center for Study Away and International Education,2012-11-28T20:30:00+00:00,2012-11-28T21:30:00+00:00,JH 107,,Unknown,"Interested in participating in an exchange program in either The Netherlands or South Africa? Come to this session to learn about what life is like at these two universities, what courses you can take, how to apply, and talk with current exchange students from these schools."
Tuesday Night Meeting,Fellowship of Christian Athletes,2012-11-14T01:30:00+00:00,2012-11-14T04:30:00+00:00,"Burgiss Theater, Upstairs in Trone University Center",,Unknown,"Come hear the Word, Worship, and Fellowship!!"
Fellowship of Christian Athletes weekly meeting,Spiritual Life at Furman,2012-11-14T01:30:00+00:00,2012-11-14T02:45:00+00:00,Burgiss Theater,,Unknown,
Society for Free Inquiry weekly meetings,Spiritual Life at Furman,2012-11-14T00:00:00+00:00,2012-11-14T01:15:00+00:00,PDen or Furman Hall 227,,Unknown,
Society for Free Inquiry (SoFI) Meeting,Furman University Secular Student Alliance,2012-11-14T00:00:00+00:00,2012-11-14T01:00:00+00:00,Furman Hall Room 227,,Unknown,"Our first meeting of the term will be Tuesday, August 28th, in the PDen! From then on, we'll alternate between FH 227 and dinner meetings in the PDen."
FUSAB Meeting,Furman University Student Activities Board,2012-11-13T23:00:00+00:00,2012-11-14T00:00:00+00:00,Trone Student Center - Room 208A (Thomas Room),,Unknown,FUSAB meets weekly at 6pm in the Thomas Room of the Trone Student Center. Join us to hear about the events we are planning and let us know what you think. All meetings are open to everyone and anyone!
CLP - World Religions Symposium; Women in Islam,Spiritual Life at Furman,2012-11-13T00:00:00+00:00,2012-11-13T01:30:00+00:00,Johns Hall 101,,Unknown,"Panel duscussion with Muslim Women from the Upstate. Panelists are Johnna Malici, Nanda Pandit-Champsi, Nicoyia Cox-Bradley, and Rima Dakhlallah. This lecture series is sponsored by the Office of the Chaplains, A.J. Head Fund, Muslim Student Association, Shi Center for Sustainability, Lilly Center for Vocational Reflection, Furman's Office of Multicultural Affairs, Canterbury, Mere Christianity Forum, Presbyterian Student Association, Wesley Fellowship, College Democrats, College Republicans, and the Departments of Politicall Science, History, and Religion."
